Row number,Subject,Group,Date,Weight,Bodylength,Sex,life_history,temp_new,temp_new_year,temp_utprop,temp_ltprop,temp_utprop_year,temp_ltprop_year,BirthWithinYear,BirthWithinNextYear,BirthWithinLast5Months,DOBnextyear,DaysUntilBirth,onemonthfruit,twelvemonthfruit,age,DOB,firstyeartemp_new,firstyearfruit,firstyeartemp_ut_prop,firstyeartemp_lt_prop,day_of_year,time_since_first_entry,decades_since_first_entry,BirthWithinYearfactor,BirthWithinNextYearfactor,BirthWithinLast5Monthsfactor
26,Aparato/,A900,2004-04-22,1387.5,76,M,territory_holder,26.26489917,22.93162274,0.023216031,0.071842195,0.023816016,0.300305634,1,1,0,2004-12-15,237,49.38527276,10743.46062,NA,NA,NA,NA,NA,NA,113,4.668035592,0.466803559,birth,birth,no birth
27,Aparicio/,A900,2003-10-28,1030,NA,M,predispersal,NA,22.71546135,NA,NA,0.023430621,0.312921276,2,1,0,2003-11-08,11,2441.288087,NA,1.909589041,2001-11-30,22.02738801,NA,0.01487286,0.30168358,302,4.183436003,0.4183436,unknown,birth,no birth
28,Apolo/,A900,2003-11-19,1230,75,M,predispersal,24.12706796,22.77366416,0.041035354,0.225949715,0.026005528,0.313388978,1,2,1,NA,NA,984.6953657,NA,3.049315068,2000-11-01,25.68565696,NA,NA,NA,324,4.24366872,0.424366872,birth,unknown,birth
29,Atenas/,A900,2004-02-03,NA,NA,F,territory_holder,28.74056207,22.62505374,0.075529134,0.008356709,0.02222316,0.32187007,1,1,1,2004-12-15,316,1871.727511,11438.42264,NA,NA,NA,NA,NA,NA,34,4.45174538,0.445174538,birth,birth,birth
30,Belize/,Corredor,2018-04-24,1350,73,F,territory_holder,24.75143911,23.12924188,0,0.08266129,0.010251085,0.266740085,1,1,0,2018-10-21,180,NA,NA,NA,NA,NA,NA,NA,NA,115,18.67214237,1.867214237,birth,birth,no birth
31,Bella/,Corredor,2015-03-23,930,72,F,predispersal,27.46441827,23.43068889,0.018851822,0.022849462,0.015325512,0.2538006,0,1,0,2015-10-31,222,NA,NA,1.452054795,2013-10-09,23.95297845,NA,NA,NA,83,15.58384668,1.558384668,no birth,birth,no birth
32,Benicio/,Corredor,2021-06-21,1450,70,M,territory_holder,17.45611353,22.64184413,0,0.674921712,0.025153844,0.3242241,0,1,0,2021-09-20,91,NA,NA,NA,NA,NA,NA,NA,NA,173,21.83162218,2.183162218,no birth,birth,no birth
33,Bernardo/,Corredor,2020-01-07,1100,NA,M,territory_holder,27.68957108,22.942266,0.100974639,0.054339081,0.040385112,0.309750196,0,0,0,NA,NA,NA,NA,4.205479452,2015-10-25,23.26602046,NA,0.012613629,0.345344907,7,20.37782341,2.037782341,no birth,no birth,no birth
34,Betty/,Corredor,2013-10-09,975,NA,F,predispersal,NA,NA,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,1.969863014,2011-10-21,22.89562234,NA,0.054530924,0.306651404,283,14.13278576,1.413278576,unknown,no birth,no birth
35,Cafe/,CAMP,2002-03-15,885,68,M,predispersal,27.8233685,NA,0.02454418,0.002688172,NA,NA,1,0,0,NA,NA,NA,NA,1.438356164,2000-10-06,23.58586166,NA,NA,NA,75,2.562628337,0.256262834,birth,no birth,no birth
36,Camilo/,CAMP,2002-01-28,1162.5,74,M,predispersal,27.04646973,NA,0.033022774,0.03576087,NA,NA,1,0,1,NA,NA,NA,NA,2.328767123,1999-10-01,22.21850989,NA,NA,NA,28,2.436687201,0.24366872,birth,no birth,birth
37,Camilo/,CAMP,2003-09-23,1105,69,M,predispersal,NA,22.82908196,NA,NA,0.023655795,0.30576193,2,1,0,2003-10-01,8,NA,NA,3.980821918,1999-10-01,22.21850989,NA,NA,NA,267,4.087611225,0.408761123,unknown,birth,no birth
38,Candado/,CAMP,2002-07-26,1200,75,M,predispersal,NA,22.67576958,NA,NA,0.01241169,0.292841767,1,0,0,NA,NA,NA,NA,3.819178082,1998-10-01,21.92722625,NA,NA,NA,208,2.926762491,0.292676249,birth,no birth,no birth
39,Candido/,CAMP,2003-09-26,1099.166667,69,M,territory_holder,NA,22.8506731,NA,NA,0.023655795,0.304491262,2,1,0,2003-10-01,5,NA,NA,NA,NA,NA,NA,NA,NA,270,4.095824778,0.409582478,unknown,birth,no birth
40,Canela/,CAMP,2004-02-06,1175,74,F,territory_holder,28.69842205,22.59038258,0.076931659,0.008356709,0.020447187,0.32187007,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4.459958932,0.445995893,birth,no birth,birth
41,Cansada/,CC,2011-04-10,1302.5,75,F,predispersal,24.62578414,21.60659753,0.001344086,0.130376344,0.00805318,0.374646642,0,0,0,NA,NA,1366.553546,83825.95135,3.361643836,2007-11-30,20.42891002,9375.30508,0.017150748,0.338592171,101,11.63312799,1.163312799,no birth,no birth,no birth
42,Carrito/,F1200,1999-08-22,1300,NA,M,predispersal,NA,NA,NA,NA,NA,NA,1,1,0,1999-10-14,53,NA,NA,NA,NA,NA,NA,NA,NA,235,0,0,birth,birth,no birth
43,Cata/,CC,2006-07-26,960,NA,F,predispersal,20.52952792,22.68703722,0,0.471859195,0.025391181,0.315091979,0,1,0,2006-11-20,117,2861.516901,14065.78861,1.767123288,2004-10-19,21.72504181,202419.3385,0.021528417,0.32472723,208,6.926762491,0.692676249,no birth,birth,no birth
44,Cebollita/,C0after,2015-03-17,930,68,F,predispersal,27.59406291,23.38833097,0.008994158,0,0.014479009,0.253012445,2,2,0,NA,NA,15739.42197,211207.7668,1.38630137,2013-10-27,20.23152637,185023.2101,NA,NA,77,15.56741958,1.556741958,unknown,unknown,no birth
45,Cecropia/,C0,2002-08-14,1210,70,F,territory_holder,NA,22.44985188,NA,NA,0.012306208,0.30825909,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227,2.978781656,0.297878166,no birth,no birth,no birth
46,Celedonio/,C0after,2011-04-13,1180,70,M,predispersal,24.13976263,21.60213784,0.001344086,0.170698925,0.00805318,0.374607044,2,2,0,NA,NA,1207.522007,83807.34393,2.326027397,2008-12-15,22.47211538,70754.72965,0.026943334,0.331034588,104,11.64134155,1.164134155,unknown,unknown,no birth
47,Celeste/,C0after,2011-02-03,1005,73,F,predispersal,28.16124145,21.81923831,0.039621318,0,0.015826206,0.373692248,2,2,0,NA,NA,22153.76078,84424.47736,2.317808219,2008-10-10,20.80778986,62537.28219,0.023582544,0.339780624,34,11.45242984,1.145242984,unknown,unknown,no birth
48,Celeste/,C0after,2012-07-20,1140,NA,F,predispersal,15.11830227,23.15366404,0,0.762096774,0.050558136,0.31093272,2,2,0,NA,NA,NA,NA,3.778082192,2008-10-10,20.80778986,62537.28219,0.023582544,0.339780624,202,12.91170431,1.291170431,unknown,unknown,no birth
49,Celina/,C0,2003-04-22,1200,73,F,territory_holder,22.32911561,22.5764125,0,0.319614625,0.019549757,0.315446736,0,1,0,2003-11-16,208,4422.358513,NA,NA,NA,NA,NA,NA,NA,113,3.665982204,0.36659822,no birth,birth,no birth
50,Celina/,C0,2005-07-19,1255,NA,F,territory_holder,17.2195599,22.63493383,0,0.608955969,0.02255366,0.310735818,0,0,0,NA,NA,495.7520942,215928.0846,NA,NA,NA,NA,NA,NA,201,5.908281999,0.5908282,no birth,no birth,no birth
51,Celina/,C0,2006-05-10,1405,NA,F,territory_holder,19.42074325,22.44662051,0,0.514779634,0.025391181,0.322809885,0,0,0,NA,NA,1064.527251,10893.22585,NA,NA,NA,NA,NA,NA,131,6.715947981,0.671594798,no birth,no birth,no birth
52,Celina/,C0,2007-06-11,1220,NA,F,territory_holder,15.17953483,23.20808655,0,0.776063581,0.023132309,0.27652178,0,0,0,NA,NA,1739.94344,195232.1636,NA,NA,NA,NA,NA,NA,163,7.802874743,0.780287474,no birth,no birth,no birth
53,Celina/,C0after,2011-07-06,1290,74,F,territory_holder,14.99804181,21.52552668,0,0.741255927,0.007256276,0.360093438,2,2,0,NA,NA,1637.738822,84973.11643,NA,NA,NA,NA,NA,NA,188,11.87132101,1.187132101,unknown,unknown,no birth
54,Centauro/,C0,2002-03-18,760,66,M,predispersal,28.22855253,NA,0.042872625,0.002688172,NA,NA,0,0,0,NA,NA,NA,NA,1.320547945,2000-11-21,22.65302645,NA,NA,NA,78,2.570841889,0.257084189,no birth,no birth,no birth
55,Cepillo/,C0after,2022-05-24,1250,NA,M,territory_holder,18.67334473,22.73493607,0,0.638017533,0.056895257,0.341534148,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,22.75427789,2.275427789,unknown,unknown,no birth
56,Cerveza/,C0after,2017-05-25,1300,NA,F,territory_holder,20.29730425,21.8888749,0,0.401807566,0.012346381,0.35079457,2,2,0,NA,NA,1085.040922,16539.57705,NA,NA,NA,NA,NA,NA,146,17.75770021,1.775770021,unknown,unknown,no birth
57,Cesar/,C0,2002-01-17,1243,69,M,territory_holder,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,2.406570842,0.240657084,no birth,no birth,no birth
58,Cesar/,C0,2004-04-15,1170.25,NA,M,territory_holder,26.50553147,22.89115506,0.023216031,0.080666412,0.023816016,0.306593228,1,0,1,NA,NA,117.3869058,26230.24978,NA,NA,NA,NA,NA,NA,106,4.648870637,0.464887064,birth,no birth,birth
59,Cesar/,C0,2004-09-23,1035,NA,M,territory_holder,20.51829608,22.36490344,0.039351852,0.53234127,0.022961219,0.336485524,1,0,0,NA,NA,6584.338795,44528.94065,NA,NA,NA,NA,NA,NA,267,5.089664613,0.508966461,birth,no birth,no birth
60,Cesar/,C0,2007-10-10,1035,NA,M,territory_holder,22.78279836,22.49828555,0.026270772,0.329710145,0.024466481,0.301244824,0,2,0,NA,NA,1127.64787,193486.9159,NA,NA,NA,NA,NA,NA,284,8.134154689,0.813415469,no birth,unknown,no birth
61,Ceviche/,C0after,2019-12-19,1350,69,F,territory_holder,26.66118215,22.94034206,0.068420941,0.101627078,0.03554294,0.307192516,2,2,0,NA,NA,114.029827,16503.3044,NA,NA,NA,NA,NA,NA,354,20.32580424,2.032580424,unknown,unknown,no birth
62,Chipa/,NA,2002-08-05,NA,NA,NA,NA,NA,22.50061727,NA,NA,0.012341169,0.304999386,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218,2.954140999,0.2954141,unknown,unknown,no birth
63,Coca/,CC,2002-05-22,1300,75,F,territory_holder,21.76474085,NA,0,0.333492711,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,2.74880219,0.274880219,birth,no birth,no birth
64,Coco/,CC,2022-05-31,1050,76,M,predispersal,17.02952115,22.74447858,0,0.719561465,0.056895257,0.341286493,0,2,0,NA,NA,NA,NA,1.663013699,2020-10-01,23.02617924,840.6182876,0.025531513,0.322758621,152,22.77344285,2.277344285,no birth,unknown,no birth
65,Cola Corta/,CC,2001-02-28,1355,60,M,territory_holder,28.07377097,22.22257623,0.039113586,0,0.018313956,0.323903935,1,1,1,2001-10-13,227,NA,NA,NA,NA,NA,NA,NA,NA,59,1.522245038,0.152224504,birth,birth,birth
66,Colon/,CC,2002-05-21,1047,71,M,predispersal,21.88181074,NA,0,0.326772281,NA,NA,1,0,0,NA,NA,NA,NA,1.553424658,2000-10-31,26.39949417,NA,NA,NA,142,2.746064339,0.274606434,birth,no birth,no birth
67,Coluda/,CC,2002-07-05,1323.333333,75,F,territory_holder,15.14484151,NA,0,0.812561095,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187,2.869267625,0.286926762,birth,no birth,no birth
68,Compadre/,CC,2014-03-24,1570,75,M,territory_holder,24.10436003,NA,0.001240695,0.156270134,NA,NA,0,0,0,NA,NA,6799.695547,72539.43451,NA,NA,NA,NA,NA,NA,84,14.58726899,1.458726899,no birth,no birth,no birth
69,Conchita/,CC,2001-12-10,1050,71,F,predispersal,24.7766513,NA,0.014141414,0.157522691,NA,NA,1,0,1,NA,NA,NA,NA,2.117808219,1999-10-29,22.14308358,NA,NA,NA,345,2.302532512,0.230253251,birth,no birth,birth
70,Conchita/,Solitario,2003-08-06,1210,70,F,floater,16.62655568,23.07850777,0,0.741967359,0.019440844,0.294123581,2,2,0,NA,NA,NA,NA,3.77260274,1999-10-29,22.14308358,NA,NA,NA,219,3.956194387,0.395619439,unknown,unknown,no birth
71,Confeti,CC,2017-07-05,1450,NA,F,territory_holder,18.14699383,22.23754864,0,0.59055941,0.012380207,0.329043942,1,1,0,2017-11-11,129,1090.941916,16550.32119,NA,NA,NA,NA,NA,NA,187,17.86995209,1.786995209,birth,birth,no birth
72,Constanza/,CC,2003-06-25,1050,72,F,predispersal,20.22892236,22.84663586,0,0.46492351,0.019604672,0.304082742,0,1,0,2003-10-08,105,1539.767403,NA,1.698630137,2001-10-13,22.7648788,NA,0.014435663,0.29648825,177,3.841204654,0.384120465,no birth,birth,no birth
73,Cordelia/,CC,2012-06-23,1300,72,F,predispersal,17.49128097,23.09555346,0,0.646914446,0.050558136,0.313994766,0,1,0,2012-10-04,103,278.980775,17894.57867,2.504109589,2009-12-22,22.73461238,72712.14247,0.018307133,0.375743459,175,12.83778234,1.283778234,no birth,birth,no birth
74,Cordelia/,CC,2013-10-29,1440,NA,F,predispersal,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,1315.661576,NA,3.854794521,2009-12-22,22.73461238,72712.14247,0.018307133,0.375743459,303,14.18754278,1.418754278,no birth,no birth,no birth
75,Coronel/,CC,2019-12-10,1150,78.5,M,predispersal,26.19593417,22.98339815,0.037921628,0.105359061,0.035981864,0.305914806,0,1,0,2020-10-23,318,137.0286339,16597.63977,2.079452055,2017-11-11,23.41323765,13690.47188,0.009535413,0.293122736,345,20.30116359,2.030116359,no birth,birth,no birth
76,Coronita/,CC,2001-12-22,1450,73,F,territory_holder,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,357,2.335386721,0.233538672,birth,no birth,birth
77,Culeao/,CC,2007-06-14,1345,71,M,territory_holder,15.85762623,23.28160659,0,0.699450678,0.023132309,0.270032709,1,1,0,2007-11-30,169,1638.780461,197969.4682,NA,NA,NA,NA,NA,NA,166,7.811088296,0.78110883,birth,birth,no birth
78,Culeao/,CC,2009-02-27,1233.333333,NA,M,territory_holder,26.9008888,22.25707447,0.016187471,0.00672043,0.019251547,0.342628885,0,1,0,2009-12-22,298,17898.29007,NA,NA,NA,NA,NA,NA,NA,58,9.519507187,0.951950719,no birth,birth,no birth
79,Culeao/,CC,2010-04-09,1415,NA,M,territory_holder,25.01503538,22.50598123,0.005434783,0.099940499,0.02615731,0.329674219,1,0,1,NA,NA,2039.389375,81772.05942,NA,NA,NA,NA,NA,NA,100,10.63107461,1.063107461,birth,no birth,birth
80,Culeao/,CC,2012-06-02,1430,NA,M,territory_holder,20.58032009,23.22170638,0,0.451305076,0.050558136,0.305658313,0,1,0,2012-10-04,124,278.980775,17894.57867,NA,NA,NA,NA,NA,NA,154,12.78028747,1.278028747,no birth,birth,no birth
81,D500_Ad/(Donovan?),D500,2019-05-06,1400,76,M,territory_holder,23.1210748,22.2970112,0,0.216543946,0.023228875,0.310356823,1,1,0,2019-11-19,197,251.8818339,17457.86911,7.567123288,2011-10-13,22.82240093,7569.639666,0.054530924,0.305997867,127,19.70431211,1.970431211,birth,birth,no birth
82,Dalila/,D1200,2004-01-30,925,71,F,predispersal,27.94413267,22.61905353,0.047303328,0.024236049,0.02152164,0.32187007,1,0,1,NA,NA,4075.141335,NA,1.224657534,2002-11-09,21.20860089,NA,0.024015827,0.313755368,30,4.440793977,0.444079398,birth,no birth,birth
83,Dalton/,D1200,2020-01-16,1300,NA,M,territory_holder,28.22858448,22.9854125,0.111612936,0.039791619,0.043357151,0.309750196,0,1,0,2020-11-23,312,70.98429111,14197.95471,NA,NA,NA,NA,NA,NA,16,20.40246407,2.040246407,no birth,birth,no birth
84,Dania/,D1200,2001-09-03,1351,NA,F,territory_holder,21.01014234,NA,0.001388889,0.434698695,NA,NA,1,1,0,2001-10-20,47,NA,NA,NA,NA,NA,NA,NA,NA,247,2.034223135,0.203422313,birth,birth,no birth
85,Dante/,D1200,2002-03-05,1000,70.5,M,predispersal,26.49870553,NA,0.001388889,0.009722222,NA,NA,1,1,1,2002-11-09,249,NA,NA,1.389041096,2000-10-14,23.82076432,NA,NA,NA,65,2.535249829,0.253524983,birth,birth,birth
86,Dante/,D1200,2003-04-07,1100,76,M,predispersal,24.46740668,22.71873787,0,0.117775582,0.019604672,0.298079484,1,1,1,2003-12-24,261,4749.873014,NA,2.479452055,2000-10-14,23.82076432,NA,NA,NA,98,3.624914442,0.362491444,birth,birth,birth
87,Dardo/,D1200,2001-01-23,1100,71,M,predispersal,NA,22.05173028,NA,NA,0.016647435,0.327921043,1,1,1,2001-10-20,270,NA,NA,2.304109589,1998-10-05,21.58136487,NA,NA,NA,23,1.423682409,0.142368241,birth,birth,birth
88,Dardo/,Solitario,2002-07-16,1300,75,M,floater,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA,NA,3.780821918,1998-10-05,21.58136487,NA,NA,NA,198,2.899383984,0.289938398,unknown,unknown,no birth
89,Dardo/,F1200,2004-07-20,1330,NA,M,territory_holder,18.32792618,22.22662425,0,0.550506821,0.02374986,0.341155578,0,1,0,2004-09-29,71,6984.080354,46933.11656,5.794520548,1998-10-05,21.58136487,NA,NA,NA,202,4.911704312,0.491170431,no birth,birth,no birth
90,Dartagnan/,D1200,2001-10-06,957,71,M,predispersal,19.76842285,NA,0,0.472762976,NA,NA,1,1,0,2001-10-20,14,NA,NA,1.980821918,1999-10-14,21.73984121,NA,NA,NA,280,2.124572211,0.212457221,birth,birth,no birth
91,Diafano/,D500,2008-04-22,1265,NA,M,predispersal,22.90249338,21.70280025,0.009525479,0.263616176,0.018302681,0.348306925,1,0,1,NA,NA,123.0065369,11170.89229,1.375342466,2006-12-07,23.45172798,187724.494,0.024369094,0.322300642,113,8.668035592,0.866803559,birth,no birth,birth
92,Dido/,D500,2004-12-17,1240,NA,M,territory_holder,25.7158351,22.29786774,0.005376344,0.048854605,0.017779473,0.332318563,0,1,0,2005-09-16,273,2304.440971,58494.4526,NA,NA,NA,NA,NA,NA,352,5.32238193,0.532238193,no birth,birth,no birth
93,Dido/,D500,2010-03-19,1212.5,NA,M,territory_holder,27.18161705,22.64902845,0.019050958,0.020628799,0.029026081,0.326437263,1,1,1,2010-10-23,218,6155.830978,84420.36796,NA,NA,NA,NA,NA,NA,79,10.57357974,1.057357974,birth,birth,birth
94,Dido/,D500,2011-04-15,1340,NA,M,territory_holder,24.47509456,21.61680087,0.001344086,0.137798036,0.00805318,0.374151671,1,1,0,2011-11-04,203,1108.157277,82050.68106,NA,NA,NA,NA,NA,NA,106,11.64681725,1.164681725,birth,birth,no birth
95,Dilema/,D500,2013-06-05,1585,NA,F,territory_holder,NA,NA,NA,NA,NA,NA,0,1,0,2013-09-19,106,121.8486024,NA,5.463013699,2007-12-20,23.83997922,8991.281387,0.019635503,0.341784734,157,13.78781656,1.378781656,no birth,birth,no birth
96,Dina/,D500,2000-12-18,1050,74,F,predispersal,25.52599773,22.18793463,0.030283816,0.132059554,0.020338953,0.3258231,0,1,0,2001-10-03,289,NA,NA,2.194520548,1998-10-09,20.32489386,NA,NA,NA,353,1.325119781,0.132511978,no birth,birth,no birth
97,Dina/,Solitario,2001-11-01,1130,74,F,floater,23.26882964,NA,0.024049708,0.242796756,NA,NA,2,2,0,NA,NA,NA,NA,3.065753425,1998-10-09,20.32489386,NA,NA,NA,306,2.195756331,0.219575633,unknown,unknown,no birth
98,Dinamita/,D500,2001-12-20,1410,72.5,F,territory_holder,NA,NA,NA,NA,NA,NA,1,1,1,2002-11-13,328,NA,NA,NA,NA,NA,NA,NA,NA,355,2.32991102,0.232991102,birth,birth,birth
99,Dinamita/,D500,2004-07-26,1220,NA,F,territory_holder,17.8083174,22.29767648,0,0.61088444,0.02374986,0.335685569,1,0,0,NA,NA,7176.744645,42623.27144,NA,NA,NA,NA,NA,NA,208,4.928131417,0.492813142,birth,no birth,no birth
100,Dinamita/,D500,2004-12-06,1295,NA,F,territory_holder,24.1131769,22.23915468,0,0.146972885,0.017321597,0.337125803,0,1,0,2005-09-16,284,2304.440971,58494.4526,NA,NA,NA,NA,NA,NA,341,5.292265572,0.529226557,no birth,birth,no birth
